info,name,info_url,actors,directer,date,runtime
info,name,info_url,actors,directer,date,runtime
"
                            ,
                            ,
                        ",逃出绝命镇,https://movie.douban.com/subject/26688480/,,乔丹·皮尔,2017-02-24(美国),104分钟
"
                                　　In a strange world where people share numerous deformities, the same problem we all face challenges each of them: to find someone who accepts you as you are. Sometimes, that means finding yourself first.
                        ",肌肤,https://movie.douban.com/subject/26964434/,,爱德华多·卡萨诺瓦,77,IMDb链接:
"
                                　　炎炎夏日，东京八王子郊外社区，一对夫妇惨遭杀害。事后凶手用血在墙上写下大大的“怒”字，随后逃亡，销声匿迹长达一年之久。而在此期间，三个身份不明的男子和身边的人相遇了。曾自甘堕落的爱子（宫崎葵 饰）被父亲（渡边谦 饰）领回海滨小镇，邂逅了不善言辞的哲也（松山研一 饰）。在东京工作的同性恋优马（妻夫木聪 饰）将柔情似水的直人（绫野刚 饰）带回了家，他不相信对方，却又尝试去相信。随母亲搬到冲绳的小泉（广濑铃 饰）跟着同学辰哉（佐久本宝 饰）登上一座荒岛，在废墟中遇到了背包客田中（森山未来 饰），他们短暂成为朋友，而可怕的命运突然降临泉的头上。不久之后，通缉令遍布全国，三个男子的真实身份引人生疑……
                                    ,
                                　　本片根据吉田修一的同名原作改编。
                        ",怒,https://movie.douban.com/subject/26279289/,,李相日,,2016-09-17(日本)
"
                                　　近未来，人类的各种器官均可实现移植，一时间机器人、生还人、仿生人充斥世间，与人类真假莫辨。某座繁华都市的大厦内，汉卡公司高管正与非洲来宾洽谈业务，突然宴会变成血腥大屠杀，暴走的机器人大开杀戒。隶属公安九课的米拉·基里安少佐（斯嘉丽·约翰逊 Scarlett Johansson 饰）带领巴特（皮鲁·埃斯贝克 Pilou Asbæk 饰）等手下赶往现场，平息事态。根据对暴走艺伎机器人的调查发现，被称作“久世”的神秘之人策划了这一系列的行动，而且他的目标全部指向了掌握着生化前沿尖端科技的汉卡公司及其研发人员。经过一番凶险的周旋，少佐逐渐逼近真相，同时也渐渐解开了发生在自己身上的惊天秘密……
                                    ,
                                　　本片根据士郎正宗的经典原作改编。
                        ",攻壳机动队,https://movie.douban.com/subject/25818101/,,鲁伯特·桑德斯,2017-03-29(法国),片长:
"
                                　　艾德里安（马里奥·卡萨斯 Mario Casas 饰）经营着一间科技公司，事业蒸蒸日上，家中有美丽贤惠的妻子和活泼可爱的女儿，事业家庭双丰收的他是旁人羡慕的对象。然而，野心勃勃的艾德里安并未珍惜眼前来之不易的生活，一直以来，他和一位名叫劳拉（芭芭拉·蓝妮 Bárbara Lennie 饰）的女摄影师保持着肉体关系。
                                    ,
                                　　某日幽会过后，两人驱车离开别墅，却在路上发生了车祸，为了掩盖事件的真相，两人决定将在车祸中死去的青年丹尼尔联同他的车一起沉入湖底。之后，劳拉遇见了一位善良的老人，老人将劳拉坏掉的车拉回家中修理，然而，令劳拉没有想到的是，这位老人，竟然就是丹尼尔的父亲。
                        ",看不见的客人,https://movie.douban.com/subject/26580232/,,奥里奥尔·保罗,2017-01-06(西班牙),106分钟
"
                            ,
                            ,
                        ",金刚狼3：殊死一战,https://movie.douban.com/subject/25765735/,,詹姆斯·曼高德,2017-02-17(柏林电影节),片长:
"
                                　　小说家丹尼尔（奥斯卡·马丁内兹 Oscar Martínez 饰）从刚出道起事业就顺风顺水，如今更是获得了诺贝尔文学奖的殊荣，攀登上了职业的顶峰，然而这荣誉却并未带给他满足，恰恰相反，丹尼尔担心名声和财富会夺走他文学创作上的灵感与锋芒。
                                    ,
                                　　一晃眼五年过去，丹尼尔热度不减，邀约和奖项不断，可冷淡而又避世的他只教助手一一回绝。一封来自小镇萨拉斯的信吸引了丹尼尔的注意，萨拉斯是他阔别已久的故乡，如今邀请他踏上故土，接受“杰出公民”的奖项，在未告知媒体和朋友们的情况下，丹尼尔独自踏上了返乡的旅途，在那里，他再度见到了曾经的恋人艾琳（安德丽娅·弗里杰里奥 Andrea Frigerio 饰），如今的艾琳早已经嫁为人妻，而她的丈夫正是丹尼尔的旧友安东尼奥（达迪·布列瓦 Dady Brieva 饰）。
                        ",杰出公民,https://movie.douban.com/subject/26844922/,,"加斯顿·杜帕拉特,马里亚诺·寇恩",2016-11-11(西班牙),118分钟
"
                                　　影片以汪星人的视角展现狗狗和人类的微妙情感，一只狗狗陪伴小主人长大成人，甚至为他追到了女朋友，后来它年迈死去又转世投胎变成其他性别和类型的汪，第二次轮回狗狗变成了警犬威风凛凛，再次转轮回，又成了陪伴一位单身女青年的小柯基犬。在经历了多次轮回之后，最终回到最初的主人身边。
                        ",一条狗的使命,https://movie.douban.com/subject/6873143/,,拉斯·霍尔斯道姆,2017-03-03(中国大陆),片长:
"
                                　　Chris Evans将参演马克·韦布（超凡蜘蛛侠系列）执导新片《Gifted》。该片讲述美队扮演一名原本波士顿大学助教现在是修船工的Frank Adler在姐姐自杀后领养了外甥女Mary——一位智力过人的天才少女。Mary刚一入学就表现得与众不同，然而舅舅Frank只想让孩子过普通人生活。Mary的外婆得知了少女的天赋，出现在二人的生活里，要将Mary培养成数学天才。于是一场抚养权之争开始了。
                        ",天才少女,https://movie.douban.com/subject/26593587/,,马克·韦布,101,IMDb链接:
"
                                　　某外国城市，来自韩国的女演员英熙，正因为和国内一个已婚男子的恋情而备受压力，她放弃了一切，甘受千夫所指以此表明心迹。他说会去找他，但她并不相信。在熟识的朋友家吃过饭，她去了海边。她认为朋友不会理解这段感情，但还是问道：“他会像我思念他一样思念我吗”
                                    ,
                                　　韩国江陵。几个老朋友的聚会。起初气氛有点尴尬，喝了些酒之后，英熙想吓吓他们。她表现得冷漠又不近人情，但他们反而喜欢这样。酒终人散，英熙独自去了海滩，发泄重重心事似雾般消散。她想知道，爱在生命中到底有多重要？
                        ",独自在夜晚的海边,https://movie.douban.com/subject/26718282/,,洪尚秀,101,IMDb链接:
