阿城, 黑龙江省哈尔滨市阿城区会宁路61号, √, √, √, 哈尔滨铁路局,车站
春亭阁, 内蒙古自治区呼伦贝尔盟鄂伦春自治旗大杨树镇, √, 　, 　, 哈尔滨铁路局,乘降所
翠峰, 黑龙江省大兴安岭地区加格达奇区翠峰镇, √, 　, 　, 哈尔滨铁路局,乘降所
翠岗, 黑龙江省大兴安岭地区新林区翠岗镇, √, 　, 　, 哈尔滨铁路局,乘降所
达拉滨, 内蒙古自治区呼伦贝尔盟莫力达瓦达乌尔族自治旗红彦镇, √, 　, 　, 哈尔滨铁路局,乘降所
大观岭, 黑龙江省穆棱市磨刀石镇, √, 　, 　, 哈尔滨铁路局,乘降所
大良, 内蒙古自治区陈巴尔虎旗大良村, √, 　, 　, 哈尔滨铁路局,乘降所
大民屯, 黑龙江省齐齐哈尔市水师营镇大民屯车站, √, 　, 　, 哈尔滨铁路局,乘降所
大其拉哈, 内蒙古自治区牙克石市伊图里河镇大其拉哈林场, √, 　, 　, 哈尔滨铁路局,乘降所
大乌苏, 黑龙江省大兴安岭地区新林区大乌苏镇, √, 　, 　, 哈尔滨铁路局,乘降所
大西, 黑龙江省七台河市勃利县杏树乡, √, 　, 　, 哈尔滨铁路局,乘降所
大扬气, 黑龙江省大兴安岭地区松岭区大扬气镇, √, 　, 　, 哈尔滨铁路局,乘降所
大杨树东, 内蒙古自治区呼伦贝尔盟鄂伦春自治旗大杨树镇, √, 　, 　, 哈尔滨铁路局,乘降所
代马沟, 黑龙江省穆棱市磨刀石镇代马沟村, √, 　, 　, 哈尔滨铁路局,乘降所
东宫, 内蒙古自治区陈巴尔虎旗东宫村, √, 　, 　, 哈尔滨铁路局,乘降所
东壕, 内蒙古自治区满洲里市东壕村, √, 　, 　, 哈尔滨铁路局,乘降所
东佳木斯, 黑龙江省佳木斯市东风区, √, 　, 　, 哈尔滨铁路局,乘降所
都伦, 内蒙古自治区陈巴尔虎旗都伦村, √, 　, 　, 哈尔滨铁路局,乘降所
斗沟子, 黑龙江省宁安市宁安镇, √, 　, 　, 哈尔滨铁路局,乘降所
独立屯, 黑龙江省大庆市让湖路区龙化路七号, √, 　, 　, 哈尔滨铁路局,乘降所
二道岗, 黑龙江省富锦市锦山镇二道岗村, √, 　, 　, 哈尔滨铁路局,乘降所
二井, 黑龙江省北安市二井镇, √, 　, 　, 哈尔滨铁路局,乘降所
二龙村, 黑龙江省林口县青山乡二龙村, √, 　, 　, 哈尔滨铁路局,乘降所
佛岭, 黑龙江省勃利县城西佛岭村, √, 　, 　, 哈尔滨铁路局,乘降所
抚远东, 黑龙江省抚远县, √, 　, 　, 哈尔滨铁路局,乘降所
富江镇, 黑龙江省牡丹江市阳明区, √, 　, 　, 哈尔滨铁路局,乘降所
富力, 黑龙江省鹤岗市南山区, √, 　, 　, 哈尔滨铁路局,乘降所
高？ 头, 黑龙江省齐齐哈尔市建华区建华乡高头车站, √, 　, 　, 哈尔滨铁路局,乘降所
高家, 黑龙江省大庆市杜尔伯特蒙古族自治县一心乡, √, 　, 　, 哈尔滨铁路局,乘降所
高老, 黑龙江省绥化市庆安县平安镇, √, 　, 　, 哈尔滨铁路局,乘降所
高台子, 内蒙古自治区扎兰屯市高台子镇高台子车站, √, 　, 　, 哈尔滨铁路局,乘降所
高头, 黑龙江省齐齐哈尔市建华区建华乡高头车站, √, 　, 　, 哈尔滨铁路局,乘降所
古城, 黑龙江省齐齐哈尔市克山县古城镇, √, 　, 　, 哈尔滨铁路局,乘降所
古里金, 滨洲线395KM, √, 　, 　, 哈尔滨铁路局,乘降所
古源, 黑龙江省大兴安岭地区松岭区古源镇, √, 　, 　, 哈尔滨铁路局,乘降所
光明, 黑龙江省讷河市太合镇黎明村光明车站, √, 　, 　, 哈尔滨铁路局,乘降所
哈川, 黑龙江省富裕县友谊乡哈川车站, √, 　, 　, 哈尔滨铁路局,乘降所
哈达, 内蒙古呼伦贝尔根河市, √, 　, 　, 哈尔滨铁路局,乘降所
哈达阳, 内蒙古自治区呼伦贝尔盟莫力达瓦达乌尔族自治旗哈达阳镇, √, 　, 　, 哈尔滨铁路局,乘降所
哈拉沟, 内蒙古自治区牙克石市哈拉沟村, √, 　, 　, 哈尔滨铁路局,乘降所
哈力图, 内蒙古自治区呼伦贝尔盟莫力达瓦达乌尔族自治旗哈达阳镇, √, 　, 　, 哈尔滨铁路局,乘降所
海浪, 黑龙江省牡丹江市西安区, √, 　, 　, 哈尔滨铁路局,乘降所
韩家园, 黑龙江省大兴安岭地区韩家园林业局, √, 　, 　, 哈尔滨铁路局,乘降所
豪门, 内蒙古自治区新巴尔虎左旗豪门村, √, 　, 　, 哈尔滨铁路局,乘降所
赫尔洪得, 内蒙古自治区呼伦贝尔市陈巴尔虎旗呼和诺尔镇, √, 　, 　, 哈尔滨铁路局,乘降所
鹤山, 黑龙江省嫩江县双山镇鹤山车站, √, 　, 　, 哈尔滨铁路局,乘降所
恒地营, 黑龙江省讷河市老莱镇丰盛九队恒地营车站, √, 　, 　, 哈尔滨铁路局,乘降所
红房子, 黑龙江省穆棱市马桥河镇, √, 　, 　, 哈尔滨铁路局,乘降所
红旗营, 黑龙江省齐齐哈尔市昂昂溪区榆树屯镇红旗营村红旗营车站, √, 　, 　, 哈尔滨铁路局,乘降所
宏图, 黑龙江省大兴安岭地区新林区宏图镇, √, 　, 　, 哈尔滨铁路局,乘降所
湖北, 内蒙古自治区新巴尔虎左旗湖北村, √, 　, 　, 哈尔滨铁路局,乘降所
虎尔虎拉, 黑龙江省齐齐哈尔市富拉尔基区富国乡虎尔虎拉车站, √, 　, 　, 哈尔滨铁路局,乘降所
虎峰, 黑龙江省尚志市鱼池乡虎峰村, √, 　, 　, 哈尔滨铁路局,乘降所
虎山, 黑龙江省林口县青山虎山村, √, 　, 　, 哈尔滨铁路局,乘降所
互助, 黑龙江省勃利县青山乡互助站, √, 　, 　, 哈尔滨铁路局,乘降所
皇德, 内蒙古自治区新巴尔虎左旗皇德村, √, 　, 　, 哈尔滨铁路局,乘降所
汇流河, 内蒙古自治区呼伦贝尔盟牙克石市, √, 　, 　, 哈尔滨铁路局,乘降所
吉新河, 黑龙江省齐齐哈尔市碾子山区华安乡吉新河车站, √, 　, 　, 哈尔滨铁路局,乘降所
加南, 黑龙江省大兴安岭地区加格达奇区, √, 　, 　, 哈尔滨铁路局,乘降所
界山, 黑龙江省铁力市桃山镇鸡岭村, √, 　, 　, 哈尔滨铁路局,乘降所
金林, 内蒙古自治区呼伦贝尔根河市金河镇, √, 　, 　, 哈尔滨铁路局,乘降所
金沙岗, 黑龙江省双鸭山市四方台区, √, 　, 　, 哈尔滨铁路局,乘降所
劲松, 黑龙江省大兴安岭地区松岭区劲松镇, √, 　, 　, 哈尔滨铁路局,乘降所
静岭, 内蒙古自治区根河市静岭村, √, 　, 　, 哈尔滨铁路局,乘降所
九营, 黑龙江省双鸭山市友谊县友邻乡, √, 　, 　, 哈尔滨铁路局,乘降所
喀喇其, 内蒙古自治区呼伦贝尔盟鄂伦春自治旗克一河镇喀喇其林场, √, 　, 　, 哈尔滨铁路局,乘降所
卡路屯, 黑龙江省牡丹江市西安区, √, 　, 　, 哈尔滨铁路局,乘降所
开道, 黑龙江省尚志市鱼池乡开道村, √, 　, 　, 哈尔滨铁路局,乘降所
凯北, 黑龙江省虎林市杨岗镇湖北村, √, 　, 　, 哈尔滨铁路局,乘降所
宽沟, 黑龙江省绥芬河市阜宁镇宽沟村, √, 　, 　, 哈尔滨铁路局,乘降所
喇嘛山, 内蒙古自治区牙克石市巴林镇喇嘛山车站, √, 　, 　, 哈尔滨铁路局,乘降所
兰岭, 黑龙江省鸡西市滴道区兰岭乡, √, 　, 　, 哈尔滨铁路局,乘降所
立志, 黑龙江省大庆市大同区太阳升镇立志村, √, 　, 　, 哈尔滨铁路局,乘降所
连珠山, 黑龙江省密山市连珠山乡, √, 　, 　, 哈尔滨铁路局,乘降所
岭北, 内蒙古自治区呼伦贝尔牙克石市图里镇, √, 　, 　, 哈尔滨铁路局,乘降所
岭南, 内蒙古自治区呼伦贝尔牙克石市库都尔镇, √, 　, 　, 哈尔滨铁路局,乘降所
陵丘, 内蒙古自治区陈巴尔虎旗陵丘村, √, 　, 　, 哈尔滨铁路局,乘降所
柳毛, 黑龙江省鸡西市恒山区柳毛乡, √, 　, 　, 哈尔滨铁路局,乘降所
柳树, 黑龙江省伊春市南岔区柳树经营所, √, 　, 　, 哈尔滨铁路局,乘降所
龙船, 黑龙江省绥化市庆安县久胜镇, √, 　, 　, 哈尔滨铁路局,乘降所
龙门河, 黑龙江省黑河市龙门农场, √, 　, 　, 哈尔滨铁路局,乘降所
胪滨, 内蒙古自治区满洲里市泸滨村, √, 　, 　, 哈尔滨铁路局,乘降所
鲁河, 黑龙江省龙江县鲁河乡鲁河车站, √, 　, 　, 哈尔滨铁路局,乘降所
绿潭, 黑龙江省伊春市南岔区, √, 　, 　, 哈尔滨铁路局,乘降所
煤田, 内蒙古自治区呼伦贝尔牙克石市乌尔旗汗镇, √, 　, 　, 哈尔滨铁路局,乘降所
蒙克山, 黑龙江省大兴安岭地区塔河县蒙克山镇, √, 　, 　, 哈尔滨铁路局,乘降所
密山西, 黑龙江省密山市密山镇新治村, √, 　, 　, 哈尔滨铁路局,乘降所
牧原, 内蒙古自治区呼伦贝尔牙克石市乌尔旗汗镇, √, 　, 　, 哈尔滨铁路局,乘降所
南甸村, 黑龙江省鸡西市滴道区南甸村, √, 　, 　, 哈尔滨铁路局,乘降所
讷尔克气, 内蒙古自治区呼伦贝尔盟鄂伦春自治旗讷尔克气乡, √, 　, 　, 哈尔滨铁路局,乘降所
聂河, 黑龙江省大兴安岭地区塔河县盘古镇, √, 　, 　, 哈尔滨铁路局,乘降所
牛耳河, 内蒙古自治区呼伦贝尔根河市, √, 　, 　, 哈尔滨铁路局,乘降所
盘古, 黑龙江省大兴安岭地区塔河县盘古镇, √, 　, 　, 哈尔滨铁路局,乘降所
青岭子, 黑龙江省海林市山市镇青岭子村, √, 　, 　, 哈尔滨铁路局,乘降所
青龙, 黑龙江省鸡西市麻山区青龙村, √, 　, 　, 哈尔滨铁路局,乘降所
青水山, 黑龙江省讷河市兴旺乡青水山车站, √, 　, 　, 哈尔滨铁路局,乘降所
全胜, 黑龙江省绥化市庆安县九胜乡, √, 　, 　, 哈尔滨铁路局,乘降所
群力, 黑龙江省富裕县友谊乡群力车站, √, 　, 　, 哈尔滨铁路局,乘降所
沙力, 内蒙古自治区牙克石市沙力村, √, 　, 　, 哈尔滨铁路局,乘降所
沙园, 黑龙江省绥化市北林区沙园村, √, 　, 　, 哈尔滨铁路局,乘降所
申家店, 黑龙江省佳木斯市桦川县横头山镇, √, 　, 　, 哈尔滨铁路局,乘降所
升昌, 黑龙江省双鸭山市集贤县升昌镇, √, 　, 　, 哈尔滨铁路局,乘降所
圣浪, 黑龙江省伊春市铁力市桃山镇圣浪村, √, 　, 　, 哈尔滨铁路局,乘降所
十八站, 黑龙江省大兴安岭地区十八站林业局, √, 　, 　, 哈尔滨铁路局,乘降所
石长, 黑龙江省伊春市铁力市桃山镇石长村, √, 　, 　, 哈尔滨铁路局,乘降所
石门子, 内蒙古自治区呼伦贝尔市新绰源镇, √, 　, 　, 哈尔滨铁路局,乘降所
双龙山, 黑龙江省富锦市二龙山镇, √, 　, 　, 哈尔滨铁路局,乘降所
双子河, 黑龙江省伊春市友好区新街基, √, 　, 　, 哈尔滨铁路局,乘降所
四马架, 黑龙江省佳木斯市桦川县四马架乡, √, 　, 　, 哈尔滨铁路局,乘降所
松青, 黑龙江省伊春市南岔区松青村, √, 　, 　, 哈尔滨铁路局,乘降所
松树林, 黑龙江省大兴安岭地区加格达奇区, √, 　, 　, 哈尔滨铁路局,乘降所
绥西, 黑龙江省东宁线绥阳镇绥西村, √, 　, 　, 哈尔滨铁路局,乘降所
索图罕, 内蒙古自治区鄂伦春自治旗？, √, 　, 　, 哈尔滨铁路局,乘降所
塔尔根, 黑龙江省大兴安岭地区新林区塔尔根镇, √, 　, 　, 哈尔滨铁路局,乘降所
塔源, 黑龙江省大兴安岭地区新林区塔源镇, √, 　, 　, 哈尔滨铁路局,乘降所
太岭, 黑龙江省东宁线绥阳镇太岭村, √, 　, 　, 哈尔滨铁路局,乘降所
太阳沟, 黑龙江省大兴安岭地区新林区塔源镇, √, 　, 　, 哈尔滨铁路局,乘降所
通天屯, 黑龙江省勃利县蔬菜新村, √, 　, 　, 哈尔滨铁路局,乘降所
瓦拉干, 黑龙江省大兴安岭地区塔河县瓦拉干镇, √, 　, 　, 哈尔滨铁路局,乘降所
弯道, 黑龙江省嫩江县双山镇弯道车站, √, 　, 　, 哈尔滨铁路局,乘降所
王杨, 黑龙江省伊春市铁力市王杨乡, √, 　, 　, 哈尔滨铁路局,乘降所
望江, 黑龙江省佳木斯市郊区望江镇, √, 　, 　, 哈尔滨铁路局,乘降所
威岭, 黑龙江省伊春市南岔区晨明镇, √, 　, 　, 哈尔滨铁路局,乘降所
卧牛河, 内蒙古自治区扎兰屯市卧牛河镇卧牛河车站, √, 　, 　, 哈尔滨铁路局,乘降所
乌固诺尔, 内蒙古自治区呼伦贝尔市陈巴尔虎旗完工镇, √, 　, 　, 哈尔滨铁路局,乘降所
乌兰丘, 内蒙古自治区陈巴尔虎旗乌兰丘村, √, 　, 　, 哈尔滨铁路局,乘降所
乌兰昭, 黑龙江省泰来县乌兰昭, √, 　, 　, 哈尔滨铁路局,乘降所
乌鲁布铁, 内蒙古自治区呼伦贝尔盟鄂伦春自治旗乌鲁布铁镇, √, 　, 　, 哈尔滨铁路局,乘降所
五林, 黑龙江省林口县五林镇, √, 　, 　, 哈尔滨铁路局,乘降所
五龙, 黑龙江省鸡西市麻山区五龙村, √, 　, 　, 哈尔滨铁路局,乘降所
五星, 黑龙江省伊春市五营区五星镇, √, 　, 　, 哈尔滨铁路局,乘降所
西岭口, 内蒙古呼伦贝尔牙克石市乌奴耳镇, √, 　, 　, 哈尔滨铁路局,乘降所
向阳川, 黑龙江省富锦市向阳川镇, √, 　, 　, 哈尔滨铁路局,乘降所
向阳村, 黑龙江省大庆市大同区双榆乡, √, 　, 　, 哈尔滨铁路局,乘降所
小白, 黑龙江省伊春市铁力市朗乡镇小白社区, √, 　, 　, 哈尔滨铁路局,乘降所
小北, 内蒙古自治区牙克石市小北村, √, 　, 　, 哈尔滨铁路局,乘降所
小榆树, 黑龙江省富裕县友谊乡小榆树车站, √, 　, 　, 哈尔滨铁路局,乘降所
新高峰, 黑龙江省嫩江县长福乡新发村新高峰车站, √, 　, 　, 哈尔滨铁路局,乘降所
新家, 黑龙江省鸡西市麻山区土顶子村, √, 　, 　, 哈尔滨铁路局,乘降所
新南沟, 内蒙古自治区牙克石市博克图镇新南沟村, √, 　, 　, 哈尔滨铁路局,乘降所
新泉, 黑龙江省绥化市绥棱县绥棱镇新泉村, √, 　, 　, 哈尔滨铁路局,乘降所
新天, 黑龙江省
